t,c0_0,c1_0,c1_1,c2_0,c2_1,c2_2,c3_0,c3_1,c3_2,c3_3,c4_0,c4_1,c4_2,c4_3,c4_4,c5_0,c5_1,c5_2,c5_3,c5_4,c5_5,c6_0,c6_1,c6_2,c6_3,c6_4,c6_5,c6_6,c7_0,c7_1,c7_2,c7_3,c7_4,c7_5,c7_6,c7_7,c8_0,c8_1,c8_2,c8_3,c8_4,c8_5,c8_6,c8_7,c8_8,c9_0,c9_1,c9_2,c9_3,c9_4,c9_5,c9_6,c9_7,c9_8,c9_9,c10_0,c10_1,c10_2,c10_3,c10_4,c10_5,c10_6,c10_7,c10_8,c10_9,c10_10,c11_0,c11_1,c11_2,c11_3,c11_4,c11_5,c11_6,c11_7,c11_8,c11_9,c11_10,c11_11,c12_0,c12_1,c12_2,c12_3,c12_4,c12_5,c12_6,c12_7,c12_8,c12_9,c12_10,c12_11,c12_12,c13_0,c13_1,c13_2,c13_3,c13_4,c13_5,c13_6,c13_7,c13_8,c13_9,c13_10,c13_11,c13_12,c13_13,c14_0,c14_1,c14_2,c14_3,c14_4,c14_5,c14_6,c14_7,c14_8,c14_9,c14_10,c14_11,c14_12,c14_13,c14_14,c15_0,c15_1,c15_2,c15_3,c15_4,c15_5,c15_6,c15_7,c15_8,c15_9,c15_10,c15_11,c15_12,c15_13,c15_14,c15_15,c16_0,c16_1,c16_2,c16_3,c16_4,c16_5,c16_6,c16_7,c16_8,c16_9,c16_10,c16_11,c16_12,c16_13,c16_14,c16_15,c16_16,c17_0,c17_1,c17_2,c17_3,c17_4,c17_5,c17_6,c17_7,c17_8,c17_9,c17_10,c17_11,c17_12,c17_13,c17_14,c17_15,c17_16,c17_17,c18_0,c18_1,c18_2,c18_3,c18_4,c18_5,c18_6,c18_7,c18_8,c18_9,c18_10,c18_11,c18_12,c18_13,c18_14,c18_15,c18_16,c18_17,c18_18,c19_0,c19_1,c19_2,c19_3,c19_4,c19_5,c19_6,c19_7,c19_8,c19_9,c19_10,c19_11,c19_12,c19_13,c19_14,c19_15,c19_16,c19_17,c19_18,c19_19,c20_0,c20_1,c20_2,c20_3,c20_4,c20_5,c20_6,c20_7,c20_8,c20_9,c20_10,c20_11,c20_12,c20_13,c20_14,c20_15,c20_16,c20_17,c20_18,c20_19,c20_20,s0_0,s1_0,s1_1,s2_0,s2_1,s2_2,s3_0,s3_1,s3_2,s3_3,s4_0,s4_1,s4_2,s4_3,s4_4,s5_0,s5_1,s5_2,s5_3,s5_4,s5_5,s6_0,s6_1,s6_2,s6_3,s6_4,s6_5,s6_6,s7_0,s7_1,s7_2,s7_3,s7_4,s7_5,s7_6,s7_7,s8_0,s8_1,s8_2,s8_3,s8_4,s8_5,s8_6,s8_7,s8_8,s9_0,s9_1,s9_2,s9_3,s9_4,s9_5,s9_6,s9_7,s9_8,s9_9,s10_0,s10_1,s10_2,s10_3,s10_4,s10_5,s10_6,s10_7,s10_8,s10_9,s10_10,s11_0,s11_1,s11_2,s11_3,s11_4,s11_5,s11_6,s11_7,s11_8,s11_9,s11_10,s11_11,s12_0,s12_1,s12_2,s12_3,s12_4,s12_5,s12_6,s12_7,s12_8,s12_9,s12_10,s12_11,s12_12,s13_0,s13_1,s13_2,s13_3,s13_4,s13_5,s13_6,s13_7,s13_8,s13_9,s13_10,s13_11,s13_12,s13_13,s14_0,s14_1,s14_2,s14_3,s14_4,s14_5,s14_6,s14_7,s14_8,s14_9,s14_10,s14_11,s14_12,s14_13,s14_14,s15_0,s15_1,s15_2,s15_3,s15_4,s15_5,s15_6,s15_7,s15_8,s15_9,s15_10,s15_11,s15_12,s15_13,s15_14,s15_15,s16_0,s16_1,s16_2,s16_3,s16_4,s16_5,s16_6,s16_7,s16_8,s16_9,s16_10,s16_11,s16_12,s16_13,s16_14,s16_15,s16_16,s17_0,s17_1,s17_2,s17_3,s17_4,s17_5,s17_6,s17_7,s17_8,s17_9,s17_10,s17_11,s17_12,s17_13,s17_14,s17_15,s17_16,s17_17,s18_0,s18_1,s18_2,s18_3,s18_4,s18_5,s18_6,s18_7,s18_8,s18_9,s18_10,s18_11,s18_12,s18_13,s18_14,s18_15,s18_16,s18_17,s18_18,s19_0,s19_1,s19_2,s19_3,s19_4,s19_5,s19_6,s19_7,s19_8,s19_9,s19_10,s19_11,s19_12,s19_13,s19_14,s19_15,s19_16,s19_17,s19_18,s19_19,s20_0,s20_1,s20_2,s20_3,s20_4,s20_5,s20_6,s20_7,s20_8,s20_9,s20_10,s20_11,s20_12,s20_13,s20_14,s20_15,s20_16,s20_17,s20_18,s20_19,s20_20,mse
0,-2384.649254,646.824666,303.148012,569.363126,166.440182,209.024049,-157.664093,-77.440521,222.336897,68.637576,353.457143,-111.457510,191.269318,183.160779,30.640921,-547.199623,-18.544411,11.000413,64.421283,-263.271018,-26.306347,251.795816,1.208064,-12.605013,26.885850,-99.208085,-54.985602,-19.401088,-278.635614,13.094669,-88.365645,-34.713853,127.261845,1.774313,29.193741,-13.060150,18.899898,-9.015244,-58.689931,15.881021,12.563065,-29.410140,-47.648457,93.989791,48.653279,-168.743013,28.904982,-24.823326,-6.336478,-5.336849,29.985668,2.769648,-6.465080,-57.379636,-13.260217,-48.840985,23.856901,86.518168,-49.833427,42.688749,14.143116,-40.267446,-4.184866,-41.021282,75.141622,-41.458271,-64.032523,75.888629,3.581278,1.083871,-26.449593,35.962887,-6.933563,-11.626873,-35.552444,-16.352266,-32.553270,-24.401351,-46.918326,3.680615,15.932230,-10.563809,25.548899,-11.274912,-34.641182,-9.545817,36.476556,33.600871,6.633586,5.835174,66.113029,99.066950,20.935602,-5.006345,-44.912351,0.494618,-3.787316,12.362805,-4.116131,6.983967,6.618314,-10.995921,-36.343872,24.104489,-40.498611,-150.716578,0.065295,36.998066,-6.911316,-7.989998,-22.114058,14.361296,5.873809,-1.553351,23.769479,-37.375113,4.404435,-9.504539,27.535025,32.575001,74.796288,8.836836,6.680430,12.817787,34.776722,-1.669383,-14.889830,26.978342,12.129501,2.841595,15.594696,14.801171,26.516621,-22.475754,-39.323384,0.318701,-82.524410,-3.464565,0.644559,-45.468525,10.599096,-15.209659,21.364067,-2.992731,32.556738,-19.900786,-37.498056,11.328306,-25.262341,18.892039,6.659493,1.743374,15.729061,-3.462333,-29.019751,19.174979,24.544731,17.806561,-32.453299,28.251087,-3.523767,-18.580521,-1.323113,23.380658,2.551157,-26.562882,37.518637,-7.603380,30.211320,40.653715,-21.521869,8.795548,18.819371,-17.453117,-21.442047,9.579710,-16.309669,13.320315,-20.116275,-15.055257,-10.417078,-2.614896,-8.776693,-1.571553,2.233724,3.221217,-39.340623,-15.205659,-4.663680,-13.422949,-52.985995,-0.013930,1.013994,-0.483216,-10.774729,2.848315,13.823084,3.651823,0.982662,16.722136,16.426342,-2.201421,-6.228848,-5.143250,-10.292637,3.052624,16.973374,8.167294,-16.136195,-8.631537,24.147232,10.048380,-15.176334,-21.889934,-2.406488,-27.168627,-18.969932,-13.070324,2.444080,21.442243,13.517398,0.024591,5.789035,31.611507,13.565423,-14.729622,-1.878226,-13.334472,-4.703704,-5.708079,-8.307213,0.000000,0.000000,199.148909,0.000000,158.842823,42.417444,0.000000,61.441229,-228.540333,285.318670,0.000000,-128.990011,-38.189833,-62.641429,-233.185840,0.000000,-35.672154,78.105606,19.167462,32.674399,112.041507,0.000000,-85.921855,68.401406,94.088063,86.863318,-101.862687,-13.335975,0.000000,100.614588,-13.697236,8.884825,-17.850238,-5.232386,54.294304,-50.425239,0.000000,-40.589869,-4.387112,24.741621,-39.343195,-2.484432,-44.104376,22.534210,65.740891,0.000000,38.776818,-22.514554,0.571165,-30.964642,39.746385,-108.017926,-51.311501,-50.617567,-47.699877,0.000000,-30.079179,45.704159,-40.438837,-12.240711,17.698862,37.170314,30.163744,47.356084,-6.196585,31.458842,0.000000,-19.547065,26.046286,-13.343854,37.566086,13.918198,-0.554989,-39.220832,-33.451515,36.021920,-23.823868,-12.048878,0.000000,-21.511862,-9.913832,-40.004158,-12.187257,-25.341169,6.917886,-20.194290,-20.380433,8.209533,8.744372,38.799148,31.787936,0.000000,5.858945,50.130517,23.869365,8.170208,18.341760,7.517055,-39.235249,-0.997776,50.880045,51.118462,-36.200188,-24.779872,-0.628111,0.000000,35.383766,27.758659,-18.315842,28.144256,-7.252896,-28.316467,-17.112591,-10.184852,0.833766,4.593817,-50.911788,43.887080,-13.665828,8.027862,0.000000,-28.216596,6.127626,43.575799,18.066934,-10.762355,21.221569,25.908262,-29.407123,21.283983,-9.209207,27.462862,-39.756317,-12.608451,24.717207,-4.703652,0.000000,26.113981,-1.558848,-32.008186,-26.839433,-1.460896,-1.351648,-15.339612,-0.077495,-43.742538,4.306079,7.625760,3.524607,20.420629,32.652580,10.245618,5.631833,0.000000,-38.881313,26.106737,21.458773,-0.064643,3.994988,-12.001812,-15.736335,-9.473075,-28.853153,3.466769,30.067090,-44.202594,4.744473,-34.627320,18.070170,-24.519444,-24.770429,0.000000,-20.828332,-22.304306,-5.487395,-1.315060,13.006309,10.055806,26.590867,-3.504947,12.284356,-18.475883,0.046206,30.610804,-28.631423,36.142117,-28.752855,-32.154440,-6.681497,3.169907,0.000000,-3.259693,-4.608798,1.970658,17.077143,18.312502,-18.038650,10.098076,-3.127752,1.228926,-17.414471,21.197480,9.588644,-24.269617,10.616058,-18.854251,14.604213,-14.316013,3.921326,1.151472,0.000000,-9.934895,-11.450659,11.328084,32.924037,-0.452376,-2.679335,12.377464,-8.690152,-11.025995,10.463088,-11.041398,5.293865,-7.932623,24.366604,-17.707954,0.233215,14.890888,0.935176,13.743064,14.384675,4530305.623703
1,-2384.649253,646.824251,303.150103,569.363128,166.441392,209.025657,-157.664730,-77.440736,222.338614,68.638067,353.457147,-111.458283,191.271189,183.162169,30.641073,-547.200428,-18.544360,11.000616,64.421791,-263.272794,-26.306513,251.795822,1.207874,-12.604646,26.886272,-99.208799,-54.986007,-19.401232,-278.636565,13.095183,-88.366483,-34.714087,127.262639,1.774354,29.193942,-13.060236,18.899908,-9.015346,-58.689966,15.881117,12.563152,-29.410405,-47.648851,93.990425,48.653578,-168.744101,28.905883,-24.823805,-6.336620,-5.336804,29.985965,2.769684,-6.465138,-57.380036,-13.260304,-48.840971,23.857103,86.519250,-49.833970,42.689198,14.143146,-40.267846,-4.184856,-41.021533,75.142137,-41.458533,-64.033747,75.889932,3.581130,1.083736,-26.449769,35.963232,-6.933593,-11.626966,-35.552724,-16.352378,-32.553488,-24.401511,-46.918306,3.680702,15.932958,-10.564219,25.549247,-11.275089,-34.641505,-9.545886,36.476814,33.601159,6.633600,5.835214,66.113443,99.065584,20.936379,-5.006426,-44.912773,0.494693,-3.787309,12.362908,-4.116140,6.983997,6.618357,-10.995998,-36.344117,24.104653,-40.498869,-150.716551,0.065321,36.998819,-6.911793,-7.989925,-22.114387,14.361396,5.873829,-1.553294,23.769670,-37.375416,4.404474,-9.504603,27.535210,32.575206,74.794763,8.837198,6.680525,12.817856,34.777119,-1.669485,-14.889853,26.978567,12.129578,2.841626,15.594832,14.801264,26.516797,-22.475897,-39.323641,0.318707,-82.524373,-3.464567,0.644912,-45.469356,10.599261,-15.210007,21.364285,-2.992804,32.557000,-19.900923,-37.498377,11.328386,-25.262526,18.892181,6.659545,1.743376,15.729157,-3.464052,-29.019904,19.175207,24.544986,17.806829,-32.453671,28.251422,-3.523740,-18.580652,-1.323096,23.380880,2.551191,-26.563070,37.518888,-7.603449,30.211523,40.653981,-21.522002,8.795593,18.819504,-17.453023,-21.442747,9.579844,-16.310091,13.320439,-20.116504,-15.055328,-10.417150,-2.614944,-8.776750,-1.571576,2.233775,3.221250,-39.340896,-15.205758,-4.663713,-13.423033,-52.987987,-0.014056,1.014087,-0.483121,-10.774740,2.848140,13.823411,3.651881,0.982686,16.722278,16.426518,-2.201385,-6.228934,-5.143291,-10.292736,3.052677,16.973489,8.167343,-16.136303,-8.631596,24.147281,10.048373,-15.176212,-21.890568,-2.406490,-27.169200,-18.970097,-13.070510,2.444107,21.442415,13.517509,0.024586,5.789079,31.611751,13.565522,-14.729731,-1.878241,-13.334565,-4.703737,-5.708112,-8.307264,0.000000,0.000000,199.150483,0.000000,158.843708,42.417724,0.000000,61.442286,-228.542022,285.320575,0.000000,-128.991580,-38.189955,-62.641789,-233.187320,0.000000,-35.671682,78.105964,19.167833,32.674614,112.042232,0.000000,-85.923629,68.402095,94.088804,86.863814,-101.863400,-13.336074,0.000000,100.616021,-13.697274,8.885011,-17.850379,-5.232332,54.294611,-50.425578,0.000000,-40.591324,-4.386788,24.741844,-39.343481,-2.484514,-44.104671,22.534377,65.741321,0.000000,38.777718,-22.514566,0.571265,-30.964845,39.746749,-108.018717,-51.311918,-50.617922,-47.700168,0.000000,-30.080383,45.704787,-40.439314,-12.240882,17.698944,37.170571,30.163958,47.356420,-6.196623,31.459043,0.000000,-19.546898,26.046814,-13.343786,37.566428,13.918421,-0.555088,-39.221216,-33.451790,36.022190,-23.824006,-12.048960,0.000000,-21.512747,-9.913597,-40.004794,-12.187361,-25.341394,6.917936,-20.194446,-20.380566,8.209584,8.744441,38.799386,31.788144,0.000000,5.858974,50.131355,23.869820,8.170432,18.341976,7.517112,-39.235596,-0.997854,50.880458,51.118811,-36.200422,-24.780048,-0.628117,0.000000,35.383485,27.759051,-18.316352,28.144452,-7.253011,-28.316699,-17.112762,-10.184952,0.833734,4.593856,-50.912130,43.887386,-13.665912,8.027918,0.000000,-28.217004,6.128178,43.576481,18.067212,-10.762353,21.221711,25.908391,-29.407392,21.284167,-9.209244,27.463068,-39.756627,-12.608535,24.717358,-4.703679,0.000000,26.113666,-1.558761,-32.008706,-26.839575,-1.460926,-1.351693,-15.339710,-0.077525,-43.742879,4.306098,7.625785,3.524674,20.420751,32.652814,10.245677,5.631864,0.000000,-38.881868,26.107338,21.459251,-0.064491,3.995112,-12.001971,-15.736440,-9.473209,-28.853355,3.466776,30.067352,-44.202936,4.744488,-34.627548,18.070284,-24.519598,-24.770585,0.000000,-20.829103,-22.304465,-5.487590,-1.314953,13.006390,10.055870,26.591138,-3.505007,12.284390,-18.476022,0.046193,30.611047,-28.631624,36.142398,-28.753058,-32.154651,-6.681537,3.169927,0.000000,-3.259911,-4.608471,1.970861,17.077379,18.312776,-18.038955,10.098129,-3.127805,1.228903,-17.414601,21.197640,9.588679,-24.269786,10.616104,-18.854364,14.604315,-14.316110,3.921353,1.151479,0.000000,-9.935748,-11.450734,11.328177,32.924498,-0.452427,-2.679361,12.377725,-8.690263,-11.026068,10.463121,-11.041499,5.293942,-7.932679,24.366803,-17.708107,0.233212,14.890982,0.935185,13.743148,14.384763,4530305.664580
2,-2384.649252,646.823840,303.152173,569.363130,166.442590,209.027250,-157.665361,-77.440948,222.340315,68.638553,353.457150,-111.459049,191.273042,183.163544,30.641223,-547.201224,-18.544309,11.000817,64.422293,-263.274553,-26.306677,251.795828,1.207686,-12.604284,26.886690,-99.209507,-54.986408,-19.401375,-278.637506,13.095692,-88.367312,-34.714318,127.263424,1.774395,29.194142,-13.060321,18.899917,-9.015447,-58.690000,15.881212,12.563238,-29.410667,-47.649241,93.991052,48.653874,-168.745179,28.906775,-24.824279,-6.336760,-5.336760,29.986258,2.769719,-6.465196,-57.380433,-13.260391,-48.840957,23.857303,86.520322,-49.834508,42.689642,14.143175,-40.268242,-4.184846,-41.021781,75.142647,-41.458792,-64.034959,75.891222,3.580984,1.083603,-26.449944,35.963574,-6.933624,-11.627057,-35.553001,-16.352490,-32.553704,-24.401670,-46.918286,3.680789,15.933680,-10.564625,25.549591,-11.275263,-34.641825,-9.545954,36.477070,33.601445,6.633614,5.835254,66.113853,99.064231,20.937148,-5.006506,-44.913190,0.494768,-3.787301,12.363010,-4.116148,6.984027,6.618400,-10.996073,-36.344359,24.104816,-40.499124,-150.716523,0.065347,36.999565,-6.912266,-7.989852,-22.114714,14.361495,5.873848,-1.553236,23.769860,-37.375716,4.404512,-9.504665,27.535393,32.575410,74.793253,8.837556,6.680618,12.817925,34.777513,-1.669586,-14.889876,26.978790,12.129655,2.841656,15.594966,14.801356,26.516972,-22.476039,-39.323896,0.318713,-82.524337,-3.464570,0.645262,-45.470178,10.599424,-15.210351,21.364501,-2.992876,32.557259,-19.901058,-37.498695,11.328465,-25.262709,18.892322,6.659596,1.743377,15.729252,-3.465753,-29.020056,19.175432,24.545239,17.807093,-32.454039,28.251753,-3.523714,-18.580782,-1.323079,23.381100,2.551226,-26.563256,37.519136,-7.603518,30.211725,40.654244,-21.522135,8.795638,18.819636,-17.452930,-21.443440,9.579977,-16.310510,13.320561,-20.116731,-15.055397,-10.417222,-2.614991,-8.776808,-1.571600,2.233825,3.221283,-39.341167,-15.205856,-4.663746,-13.423117,-52.989959,-0.014181,1.014179,-0.483028,-10.774752,2.847967,13.823735,3.651939,0.982709,16.722418,16.426692,-2.201350,-6.229018,-5.143332,-10.292833,3.052729,16.973603,8.167392,-16.136411,-8.631655,24.147329,10.048367,-15.176091,-21.891195,-2.406492,-27.169767,-18.970260,-13.070694,2.444133,21.442585,13.517618,0.024581,5.789123,31.611992,13.565620,-14.729838,-1.878255,-13.334657,-4.703769,-5.708145,-8.307315,0.000000,0.000000,199.152042,0.000000,158.844584,42.418001,0.000000,61.443333,-228.543695,285.322461,0.000000,-128.993133,-38.190075,-62.642145,-233.188786,0.000000,-35.671216,78.106318,19.168201,32.674827,112.042950,0.000000,-85.925385,68.402777,94.089537,86.864304,-101.864105,-13.336172,0.000000,100.617440,-13.697312,8.885196,-17.850518,-5.232278,54.294915,-50.425914,0.000000,-40.592764,-4.386466,24.742064,-39.343765,-2.484595,-44.104962,22.534541,65.741746,0.000000,38.778608,-22.514577,0.571363,-30.965046,39.747109,-108.019500,-51.312329,-50.618274,-47.700457,0.000000,-30.081575,45.705409,-40.439785,-12.241052,17.699025,37.170826,30.164171,47.356753,-6.196661,31.459241,0.000000,-19.546733,26.047338,-13.343720,37.566766,13.918641,-0.555186,-39.221596,-33.452063,36.022457,-23.824144,-12.049042,0.000000,-21.513623,-9.913365,-40.005423,-12.187464,-25.341616,6.917987,-20.194600,-20.380697,8.209634,8.744510,38.799621,31.788350,0.000000,5.859004,50.132184,23.870270,8.170655,18.342189,7.517169,-39.235940,-0.997930,50.880867,51.119157,-36.200653,-24.780222,-0.628123,0.000000,35.383207,27.759440,-18.316856,28.144645,-7.253126,-28.316929,-17.112931,-10.185051,0.833703,4.593896,-50.912467,43.887689,-13.665995,8.027973,0.000000,-28.217408,6.128725,43.577155,18.067488,-10.762350,21.221852,25.908520,-29.407659,21.284350,-9.209280,27.463272,-39.756933,-12.608618,24.717508,-4.703706,0.000000,26.113354,-1.558674,-32.009221,-26.839716,-1.460956,-1.351737,-15.339808,-0.077555,-43.743217,4.306117,7.625809,3.524741,20.420872,32.653046,10.245735,5.631894,0.000000,-38.882417,26.107932,21.459725,-0.064341,3.995235,-12.002128,-15.736544,-9.473341,-28.853556,3.466782,30.067611,-44.203274,4.744502,-34.627773,18.070397,-24.519751,-24.770741,0.000000,-20.829867,-22.304622,-5.487782,-1.314847,13.006470,10.055934,26.591406,-3.505067,12.284424,-18.476160,0.046181,30.611288,-28.631823,36.142677,-28.753259,-32.154861,-6.681576,3.169947,0.000000,-3.260127,-4.608147,1.971062,17.077613,18.313046,-18.039257,10.098181,-3.127858,1.228880,-17.414730,21.197799,9.588713,-24.269953,10.616150,-18.854475,14.604417,-14.316206,3.921381,1.151486,0.000000,-9.936591,-11.450808,11.328269,32.924955,-0.452477,-2.679386,12.377984,-8.690373,-11.026141,10.463154,-11.041599,5.294018,-7.932735,24.367000,-17.708258,0.233209,14.891076,0.935194,13.743230,14.384850,4530305.705827
3,-2384.649251,646.823433,303.154222,569.363132,166.443776,209.028826,-157.665985,-77.441159,222.341998,68.639034,353.457154,-111.459807,191.274876,183.164906,30.641371,-547.202013,-18.544258,11.001016,64.422791,-263.276295,-26.306839,251.795834,1.207500,-12.603925,26.887104,-99.210207,-54.986805,-19.401516,-278.638438,13.096196,-88.368133,-34.714547,127.264202,1.774435,29.194340,-13.060405,18.899926,-9.015547,-58.690033,15.881306,12.563323,-29.410926,-47.649627,93.991673,48.654168,-168.746245,28.907658,-24.824749,-6.336899,-5.336716,29.986549,2.769754,-6.465253,-57.380825,-13.260477,-48.840943,23.857502,86.521382,-49.835040,42.690081,14.143204,-40.268635,-4.184837,-41.022027,75.143151,-41.459048,-64.036158,75.892499,3.580840,1.083471,-26.450116,35.963912,-6.933654,-11.627148,-35.553276,-16.352600,-32.553918,-24.401828,-46.918267,3.680875,15.934394,-10.565026,25.549932,-11.275436,-34.642142,-9.546021,36.477323,33.601727,6.633627,5.835293,66.114258,99.062892,20.937909,-5.006585,-44.913603,0.494841,-3.787294,12.363110,-4.116156,6.984057,6.618442,-10.996148,-36.344600,24.104978,-40.499377,-150.716496,0.065372,37.000303,-6.912733,-7.989781,-22.115037,14.361593,5.873867,-1.553180,23.770047,-37.376013,4.404551,-9.504728,27.535574,32.575611,74.791758,8.837911,6.680710,12.817993,34.777903,-1.669687,-14.889898,26.979011,12.129731,2.841685,15.595099,14.801446,26.517145,-22.476179,-39.324148,0.318720,-82.524301,-3.464572,0.645609,-45.470992,10.599586,-15.210692,21.364714,-2.992947,32.557516,-19.901192,-37.499010,11.328544,-25.262890,18.892461,6.659646,1.743378,15.729347,-3.467437,-29.020206,19.175655,24.545489,17.807355,-32.454404,28.252080,-3.523687,-18.580910,-1.323062,23.381317,2.551260,-26.563440,37.519382,-7.603587,30.211924,40.654504,-21.522266,8.795682,18.819766,-17.452838,-21.444126,9.580109,-16.310924,13.320682,-20.116955,-15.055467,-10.417292,-2.615039,-8.776864,-1.571623,2.233875,3.221316,-39.341435,-15.205953,-4.663778,-13.423200,-52.991911,-0.014304,1.014270,-0.482935,-10.774763,2.847796,13.824056,3.651997,0.982732,16.722557,16.426865,-2.201315,-6.229102,-5.143373,-10.292930,3.052782,16.973715,8.167439,-16.136517,-8.631713,24.147377,10.048361,-15.175971,-21.891816,-2.406495,-27.170329,-18.970422,-13.070876,2.444160,21.442754,13.517726,0.024577,5.789166,31.612232,13.565716,-14.729945,-1.878269,-13.334749,-4.703801,-5.708177,-8.307365,0.000000,0.000000,199.153585,0.000000,158.845451,42.418276,0.000000,61.444370,-228.545351,285.324329,0.000000,-128.994670,-38.190193,-62.642498,-233.190236,0.000000,-35.670754,78.106668,19.168565,32.675037,112.043660,0.000000,-85.927124,68.403452,94.090263,86.864789,-101.864804,-13.336269,0.000000,100.618844,-13.697350,8.885379,-17.850656,-5.232224,54.295216,-50.426247,0.000000,-40.594190,-4.386148,24.742282,-39.344045,-2.484675,-44.105251,22.534704,65.742167,0.000000,38.779490,-22.514589,0.571460,-30.965245,39.747466,-108.020275,-51.312737,-50.618623,-47.700743,0.000000,-30.082756,45.706025,-40.440253,-12.241219,17.699106,37.171077,30.164381,47.357082,-6.196698,31.459438,0.000000,-19.546570,26.047855,-13.343654,37.567102,13.918859,-0.555283,-39.221972,-33.452333,36.022721,-23.824280,-12.049122,0.000000,-21.514491,-9.913135,-40.006046,-12.187566,-25.341837,6.918037,-20.194752,-20.380827,8.209685,8.744578,38.799854,31.788554,0.000000,5.859033,50.133004,23.870716,8.170875,18.342400,7.517225,-39.236281,-0.998006,50.881272,51.119499,-36.200882,-24.780394,-0.628129,0.000000,35.382932,27.759825,-18.317355,28.144837,-7.253239,-28.317156,-17.113098,-10.185149,0.833672,4.593935,-50.912802,43.887989,-13.666078,8.028028,0.000000,-28.217807,6.129266,43.577823,18.067762,-10.762348,21.221991,25.908647,-29.407923,21.284530,-9.209316,27.463475,-39.757236,-12.608700,24.717656,-4.703732,0.000000,26.113045,-1.558589,-32.009731,-26.839856,-1.460986,-1.351781,-15.339905,-0.077584,-43.743551,4.306135,7.625834,3.524806,20.420992,32.653276,10.245792,5.631925,0.000000,-38.882960,26.108521,21.460193,-0.064191,3.995356,-12.002283,-15.736647,-9.473473,-28.853754,3.466789,30.067868,-44.203609,4.744516,-34.627996,18.070508,-24.519902,-24.770894,0.000000,-20.830623,-22.304778,-5.487973,-1.314741,13.006549,10.055997,26.591671,-3.505126,12.284457,-18.476296,0.046168,30.611526,-28.632021,36.142952,-28.753458,-32.155068,-6.681615,3.169966,0.000000,-3.260341,-4.607826,1.971261,17.077844,18.313314,-18.039556,10.098232,-3.127911,1.228857,-17.414857,21.197956,9.588747,-24.270119,10.616195,-18.854586,14.604517,-14.316302,3.921408,1.151493,0.000000,-9.937427,-11.450881,11.328359,32.925408,-0.452527,-2.679412,12.378240,-8.690482,-11.026213,10.463187,-11.041698,5.294093,-7.932790,24.367195,-17.708408,0.233207,14.891168,0.935203,13.743311,14.384937,4530305.747425
